YEAR,HOUR,ROAD_CLASS,CLASS_INT,DISTRICT,DISTRICT_INT,DIVISION,VISIBILITY,VISIBILITY_INT,LIGHT,LIGHT_INT,RDSFCOND,RDSFCOND_INT,ACCLASS,ACCLAS_INT,INJURY,INJURY_INT,VEHTYPE,VEHTYPE_INT,HOOD_ID
2006,8,Major Arterial,1,Toronto and East York,4,11,Clear,1,Daylight,1,Dry,1,Fatal,1,None,0,"Automobile, Station Wagon",1,88
2006,8,Major Arterial,1,Toronto and East York,4,11,Clear,1,Daylight,1,Dry,1,Fatal,1,Fatal,1,Other,6,88
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Fatal,1,Fatal,1,Motorcycle,2,131
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Fatal,1,None,0,"Automobile, Station Wagon",1,131
2006,2,Major Arterial,1,Scarborough,3,41,Clear,1,Dark,4,Dry,1,Fatal,1,None,0,"Automobile, Station Wagon",1,138
2006,2,Major Arterial,1,Scarborough,3,41,Clear,1,Dark,4,Dry,1,Fatal,1,Minor,3,Other,6,138
2006,2,Major Arterial,1,Scarborough,3,41,Clear,1,Dark,4,Dry,1,Fatal,1,Fatal,1,Other,6,138
2006,19,Major Arterial,1,Toronto and East York,4,14,Clear,1,Dark,4,Dry,1,Non-Fatal Injury,2,None,0,"Automobile, Station Wagon",1,81
2006,19,Major Arterial,1,Toronto and East York,4,14,Clear,1,Dark,4,Dry,1,Non-Fatal Injury,2,Major,2,Other,6,81
2006,15,Major Arterial,1,Etobicoke York,1,23,Clear,1,Daylight,1,Dry,1,Fatal,1,None,0,"Automobile, Station Wagon",1,6
2006,15,Major Arterial,1,Etobicoke York,1,23,Clear,1,Daylight,1,Dry,1,Fatal,1,Fatal,1,Other,6,6
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,Major,2,Other,6,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,None,0,Other,6,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,Minor,3,Other,6,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,Minor,3,"Automobile, Station Wagon",1,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,Major,2,"Automobile, Station Wagon",1,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,None,0,Other,6,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,None,0,"Automobile, Station Wagon",1,116
2006,9,Major Arterial,1,Scarborough,3,42,Clear,1,Daylight,1,Dry,1,Non-Fatal Injury,2,None,0,Other,6,116
